name,sku,price,old_price,image_href,out_of_stock,date
Духова шафа H 7260 BP CleanSteel,22726045UA,82 390 грн.,,https://shop.miele.ua/upload/iblock/634/634499df7c4927fffb00e9c4b562dd7d.jpeg,Під замовлення,(08.05.2023)
Духова шафа H 7264 B CleanSteel,22726444UA,84 890 грн.,,https://shop.miele.ua/upload/iblock/ced/ced08b7a1bcc0423836fdaa103203c4d.jpeg,Під замовлення,(08.05.2023)
Духова шафа H 7264 BP CleanSteel,22726445UA,102 190 грн.,,https://shop.miele.ua/upload/iblock/7ef/7ef732d8cb95ed926c789b7a7111bebf.jpeg,Під замовлення,(16.05.2023)
Духова шафа H 7464 BP CleanSteel,22746445UA,130 190 грн.,,https://shop.miele.ua/upload/iblock/3dd/3dd0195112ea2e2a5910bb33083ed0a8.jpeg,В наявності,(16.05.2023)
Духова шафа H 7464 BP графитово-сірий,22746435UA,136 690 грн.,,https://shop.miele.ua/upload/iblock/b95/b956d61c426050c542619f265b18cd34.jpeg,Під замовлення,(31.03.2023)
Духова шафа H 7464 BP діамантово-білий,22746415UA,136 690 грн.,,https://shop.miele.ua/upload/iblock/11c/11c1f51799a456ffa6697ef00f359b45.jpeg,Під замовлення,(08.05.2023)
Духова шафа H 7464 BP чорний обсидіан,22746425UA,136 690 грн.,,https://shop.miele.ua/upload/iblock/9b2/9b2ea32d932dee196e45d21cb17449a5.jpeg,Під замовлення,(08.05.2023)
Духова шафа H 7464 BPX чорний обсидіан,22746465UA,139 390 грн.,,https://shop.miele.ua/upload/iblock/2fd/2fdc13b06bfdee53d770c887e4c831cc.jpeg,Під замовлення,(08.05.2023)
Духова шафа H 7464 BPX графитово-сірий,22746475UA,139 390 грн.,,https://shop.miele.ua/upload/iblock/5ab/5ab8a9c1a4399d1c834bb067f3e6d28d.jpeg,Під замовлення,(08.05.2023)
Духова шафа H 7464 BPX діамантово-білий,22746455UA,139 390 грн.,,https://shop.miele.ua/upload/iblock/bee/bee9a25449faf3cd3243bb1b9f5938ce.jpeg,Під замовлення,(08.05.2023)
